144.94,666.37,2824.7,5.0245,1,16
144.22,667.38,2663.1,4.6722,2,16
143.85,667.51,3172.7,5.5502,3,16
143.61,669.41,1782.9,5.068,4,16
142.32,672.24,130.43,6.2688,5,16
145.6,936.98,481.87,2.3068,1,17
145.79,926.26,1733.6,5.2976,1,18
145.58,926.01,2883.5,6.0077,2,18
145.47,926.62,3002.9,4.9171,3,18
145.18,926.62,3503.8,5.9535,4,18
145.19,926.57,4003.2,7.2108,5,18
145.1,926.19,4613.8,8.5648,6,18
144.83,926.13,4328.8,8.3909,7,18
144.83,926.32,3716.3,7.61,8,18
145.11,926.67,3170.8,5.247,9,18
145.5,926.69,3645.8,7.2395,10,18
145.99,927.99,3551.7,6.9482,11,18
146.22,928.27,3587.9,8.1875,12,18
146.8,928.58,3319.8,9.5162,13,18
145.19,928.5,263.81,26.55,14,18
150.14,910.93,990.27,15.495,1,19
150.23,910.61,1356.7,11.944,2,19
149.93,909.86,1368.6,9.8517,3,19
150.79,911.22,1687.8,15.183,4,19
150.87,910.01,1744.8,9.5895,5,19
150.07,909.16,2363.8,9.3483,6,19
151.08,910.65,3797.8,11.885,7,19
152.74,912.48,7131.4,12.308,8,19
152.76,912.81,7115.6,10.107,9,19
152.25,912.58,6105.4,11.543,10,19
152.58,914.51,7591.9,11.407,11,19
151.99,914.8,6548.3,11.863,12,19
152.02,914.33,3248.7,16.959,13,19
151.42,915.36,2183.6,20.089,14,19
154.45,920.8,10022,13.705,1,20
154.18,920.77,10244,12.665,2,20
154.87,920.98,11139,12.218,3,20
155.08,919.51,10703,10.456,4,20
155.83,917.87,8074.6,11.118,5,20
157.19,919.27,5011.4,10.454,6,20
156.09,916.77,4413.9,9.3433,7,20
157.66,889.68,100.08,1.1384,1,21
164.49,85.725,3123.6,6.5691,1,22
164.48,86.418,2646.7,5.9068,2,22
164.74,86.885,2146.5,6.4353,3,22
164.81,86.608,1106.9,7.9862,4,22
163.58,86.675,1296.5,6.1987,5,22
161.25,84.877,1447.9,5.2748,6,22
160.89,84.28,1222.3,3.8686,7,22
160.69,84.21,2007.3,5.6562,8,22
160.46,84.283,2460.6,5.2694,9,22
160.48,84.025,2957,6.0953,10,22
160.02,84.22,3036.9,6.0715,11,22
159.74,85.043,3123,6.463,12,22
160.12,85.349,3017.1,6.3614,13,22
159.86,85.305,3091.1,5.4534,14,22
159.65,84.481,2725.9,5.0688,15,22
159.49,86.94,1884.4,5.8422,16,22
160.1,88.088,1200,4.0135,17,22
164.43,120.52,2947.7,7.5326,1,23
164.25,120.87,3099.8,6.4479,2,23
164.24,121.3,2435.9,5.0652,3,23
164.25,121.31,2558.2,4.5376,4,23
163.83,121.12,2528.8,4.3666,5,23
164.21,121.47,2079.2,3.6204,6,23
164.56,121.92,1286.6,5.2074,7,23
166.97,326.54,2885.9,4.7191,1,24
165.93,326.76,1954.5,4.8463,2,24
165.99,327.98,999.96,3.7551,3,24
